response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int
1,1,1,1,3.0,1,2,0.9586533043660025,0.04134669563397477
1,1,1,1,-3.0,1,2,0.9655667409654586,0.03443325903452892
0,1,-1,1,,1,2,0.9767284313347515,0.023271568665297677
1,-1,1,0,-2.0,1,-1,0.9814247604941001,0.018575239505934194
1,1,2,1,10.0,1,2,0.9818766841035644,0.018123315896466936
0,1,-1,2,,1,3,0.9847138063753802,0.01528619362464594
0,-1,-1,0,,1,-1,0.9840611126033754,0.015938887396601875
1,-1,1,0,-3.0,1,-1,0.9867740843106653,0.013225915689292095
0,1,-1,1,,1,2,0.986382923025276,0.013617076974713179
0,-1,-1,0,,1,-1,0.9827026434444944,0.017297356555501527
0,-1,-1,0,,1,-1,0.9824534550658316,0.0175465449341854
1,-1,1,0,2.0,1,-1,0.9856291097247399,0.01437089027524031
1,1,1,1,0.0,1,2,0.9854457291031214,0.014554270896853619
0,1,1,1,-1.0,1,2,0.9885920723107354,0.011407927689269638
1,-1,2,1,10.0,1,0,0.9862876932566343,0.013712306743414731
1,1,1,2,-3.0,1,3,0.983037108903753,0.01696289109625752
0,1,-1,1,,1,2,0.9831955490346382,0.01680445096536524
1,-1,1,0,-3.0,1,-1,0.9795256510997805,0.02047434890026158
0,1,-1,1,,1,2,0.9702918722285709,0.029708127771438966
0,-1,-1,0,,1,-1,0.9511274372759055,0.04887256272412262
0,-1,-1,0,,1,-1,0.9371201131002956,0.06287988689970947
0,-1,-1,0,,1,-1,0.9279186792086079,0.07208132079134684
0,-1,-1,0,,1,-1,0.9232924182913608,0.07670758170868945
0,-1,-1,0,,1,-1,0.9231253312023855,0.07687466879760638
0,-1,-1,0,,1,-1,0.9274132283900838,0.07258677160988636
1,-1,1,0,3.0,1,-1,0.9362636248477817,0.0637363751522438
1,1,2,1,-10.0,1,2,0.9355887652684772,0.06441123473156436
1,1,1,2,-1.0,1,3,0.9372862879277982,0.06271371207219054
1,1,1,1,3.0,1,2,0.9433203933686183,0.056679606631395305
0,1,-1,1,,1,2,0.9538423811154451,0.046157618884583654
1,-1,1,0,-1.0,1,-1,0.9559639988987738,0.0440360011011993
0,1,1,1,-2.0,1,2,0.9506885875972415,0.049311412402786664
0,-1,-1,1,,1,0,0.9265771070159582,0.07342289298408497
0,-1,-1,0,,1,-1,0.9082971436824314,0.09170285631752213
1,-1,1,0,2.0,1,-1,0.8953903446911838,0.1046096553087732
1,1,1,1,2.0,1,2,0.8642868368208793,0.13571316317908919
0,1,-1,1,,1,2,0.839955504713322,0.16004449528670164
1,-1,1,0,0.0,1,-1,0.787050088009383,0.21294991199060584
0,1,-1,1,,1,2,0.6805509212035264,0.31944907879647705
0,-1,1,0,-3.0,1,-1,0.4700931513917559,0.5299068486082867
0,-1,1,1,3.0,1,0,0.38684291269361953,0.6131570873064013
0,-1,1,1,1.0,1,0,0.3587789140709413,0.6412210859290438
0,-1,1,1,2.0,1,0,0.3616224814430599,0.6383775185569335
0,-1,-1,1,,1,0,0.3978336365046811,0.6021663634953366
0,-1,1,0,3.0,1,-1,0.44095479097406737,0.5590452090258995
0,-1,-1,1,,1,0,0.55777709646986,0.44222290353009924
1,-1,2,0,10.0,1,-1,0.6935520827127978,0.30644791728721105
